id,nama_tempat,kategori,kota,alamat,deskripsi,lat,long
282,Dim Sum Inc.,Kuliner,Jakarta Selatan,"Jl. Kemang Raya No.20, RT.11/RW.5, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730","Dim Sum Inc Jakarta – Restoran Dimsum Penuh Cita Rasa. Dimsum biasanya disantap bersama teh dan disajikan dalam wadah kukusan bambu supaya makanan tetap panas. Dimsum menjadi pilihan yang khas bagi sebagian orang untuk sarapan pagi atau sekedar camilan. jika wisatawan ingin mencicipi salah satu restoran dimsum terbaik di Jakarta, langsung saja kunjungi Dim Sum Inc gerai di Kemang, Jakarta selatan. Restoran dimsum ini hadir dengan menawarkan konsep yang cukup menarik, suasana di dalamnya menawarkan suasana artsy dengan konsep industrial yang bentuknya seperti modern bar, luas dan bernuansa nyaman sehingga membuat Dim Sum Inc digemari banyak orang.",-6.259728,106.815211
283,Hopeclat,Kuliner,Jakarta Selatan,"Gedung Permata Kuningan Lt. G, Jalan Kuningan Mulia Kav. 9C, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12980","Hopeclat, restoran semi casual yang berlokasi di lantai dasar Gedung Permata Kuningan, Jakarta Selatan. Berada di kawasan yang cukup strategis, tidak heran Hopeclat menjadi salah satu tempat andalan banyak karyawan di sekitar kawasan Kuningan untuk bersantap siang. Ditambah interior minimalis namun tetap homey, restoran yang bisa menampung lebih dari 100 pengunjung itu juga sering disambangi untuk meeting santai. Tidak hanya suasana restorannya yang nyaman, beragam sajian yang ditawarkan pun tak kalah menarik. Di sini, terdapat lebih dari 50 menu tradisional Nusantara, Asia, hingga Eropa yang diolah secara homemade dan pastinya menggunakan bahan-bahan segar. ",-6.212176,106.833711
284,Kafe Betawi,Kuliner,Jakarta Selatan,"Setiabudi One Lt. 1, Jalan HR Rasuna Said Kav 62, RT.18/RW.2, Karet Kuningan, Setiabudi, RT.18/RW.2, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920","Berdiri sejak 1992, Kafe Betawi hadir pertama kalo dengan dibukanya restoran di Jakarta Selatan. Saat itu, dengan modernisasi dan maraknya makanan dan minuman internasional, Kafe Betawi memutuskan untuk membuka pasar bagi pecinta makanan tradisional, khususnya makanan khas Betawi. Restoran ini menyajikan beragam makanan, minuman, dan aneka jajanan khas Betawi serta menjaga tradisi nenek moyang dengan tetap menggunakan bahan-bahan alami terbaik dan berkualitas tinggi.",-6.215257,106.830073
285,Kulineria Pujasera Melawai,Kuliner,Jakarta Selatan,"Jl. Melawai Raya XIII No.3, RT.1/RW.3, Melawai, Kebayoran Baru,Jakarta Selatan, Jakarta 12160","Kawasan Panglima Polim juga terdapat berbagai macam kuliner di sana. Mulai dari makanan berat seperti Koyoku Japanese Food Cak Tinar, Bakmi Jawa Mas Yono, Soto Jakarta Bang Madi dan lain lain.  Kawasan Sambas Panglima Polim terletak di sepanjang Jalan Panglima Polim, Blok M, Melawai, Jakarta Selatan. Kawasan kuliner satu ini buka dari pukul 17.00-23.00 WIB.",-6.246667,106.800768
286,Mad Bagel - Kemang,Kuliner,Jakarta Selatan,"Jl. Pejaten Barat II No.10a, RT.4/RW.8, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510","Bagel adalah salah satu jenis roti berbentuk seperti cincin seukuran telapak tangan, dibuat dari adonan tepung terigu dan ragi yang direbus di dalam air sebelum dipanggang. Sebuah restoran cepat saji yang menyajikan Bagel ada di kawasan pasar minggu, Jakarta Selatan. Tempat yang cukup tidak terlihat dari luar karena letaknya seperti di pekarangan rumah, walau berada di pinggir jalan.",-6.272427,106.825844
287,Mike Pizza Asia,Kuliner,Jakarta Selatan,"Jl. Kemang Selatan VIII No.51c, Bangka, Jakarta, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730","Mike Pizza Asia, sebuah restoran Italia yang menyajikan beragam makanan dengan menu utamanya adalah pizza. Mike Pizza sendiri merupakan restoran Italia dengan tradisi bertahun-tahun dalam menyajikan makanan Italia yang berkualitas tinggi. Bagi wisatawan yang sedang mengunjungi kawasan Jakarta Selatan dan ingin mencicipi cita rasa Pizza layaknya di negara Italia, tempat ini akan cocok untuk dikunjungi.",-6.26707,106.813491
288,Nampan Bistro,Kuliner,Jakarta Selatan,"Jl Raya Pasar Minggu KM 18.2 No 72R RT.6/RW.1 Pejaten Timur Kec. Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510","Indonesian Western Fusion Bistro menyediakan tempat yang memiliki interior bagus dan cocok untuk yang suka foto. Harga yang terjangkau dan kopi yang nikmat. Memiliki tiga lantai dimana lantai teratas dijadikan Mushola. Tersedia smoking dan non smoking area. pelayanan disini sangatlah ramah dan cepat,menu yang diwarakan sangat modern tetapi tetap ada authentic rasa Indonesia yang masih bisa ditoleransi oleh lidah orang indonesia , dan lokasinya sangatlah strategis dengan parkiran yang luas.",-6.267507,106.845548
289,Roti Bakar Kemang,Kuliner,Jakarta Selatan,"Jl. Ampera Raya Jl. Kemang Timur No.5B, RT.1/RW.8, Ampera, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510","Roti Bakar Kemang, Kafe makanan rumahan eklektik larut malam, dari sarapan hingga hidangan penutup, di kedai santai & nyaman. Banyak menu yang bisa dicoba, mulai dari makanan ringan seperti Roti Bakar dengan berbagai jenis topping seperti Nutella, Snickers, Ovomaltine, dan masih banyak lagi, sampai makanan berat seperti Spaghetti Aglio Olio, Ayam Bakar, dan Nasi Goreng. Tempatnya asyik buat nongkrong bersama teman dan harganya juga sangat bersahabat.",-6.274896,106.820986
290,Warung Nagih,Kuliner,Jakarta Selatan,"Jl. Kapten Tendean No.41 2, RT.2/RW.3, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790","Seperti namanya Warung Nagih memang membuat pengunjung akan kembali atau balik untuk mencicipi roti bakarnya. Konsep tempatnya outdoor dan nyaman untuk nongkrong pada waktu sore hingga malam. Selain menyediakan roti bakar Kemang, warung nagih juga menyediakan menu lainnya seperti roti maryam. Pilihan toppingnya pun beragam antara lain es krim, beef cheezy hingga marshmallow.",-6.240104,106.82208
291,Angkringan Pak Dji,Kuliner,Jakarta Timur,"Jl. Kamboja Dalam, RT.7/RW.2, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770","Jika ingin mencari kuliner di waktu malam hari dengan suasana seperti di restoran mewah dengan harga murah, mungkin wisatawan dapat mengunjungi Angkringan Pak Dji. Angkringan Pak Dji adalah kuliner malam yang unik dengan menyediakan aneka macam menu khas angkringan seperti nasi kucing hingga sate-sate. Soal harga Angkringan ini ramah dikantong dan lokasinya di sekitar Cijantung, Pasar Rebo, Jakarta Timur.",-6.323708,106.854019
292,Asinan Betawi H.Mansyur Kamboja,Kuliner,Jakarta Timur,"Jl. Taman Kamboja No.10, RT.8/RW.11, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220","Salah satu wisata kuliner Jakarta Timur adalah asinan Betawi H. Mansur yang terletak di daerah Rawamangun. Tempat makan ini juga dikenal sebagai asinan sayur kamboja. Menyajikan makanan khas Indonesia, mulai dari asinan sayur hingga mi tahu, yang disajikan di kedai standar yang nyaman. Asinan di sini disajikan dengan dua tipe yaitu buah dan sayur. Rasanya seperti asinan pada umumnya, yaitu memiliki rasa pedas dan asam yang sangat segar. Wisatawan dapat menyantap makanan ini hanya dengan mengeluarkan uang sebesar Rp16.00 sampai Rp17.000.",-6.200854,106.884975
293,Bakso Mesir,Kuliner,Jakarta Timur,"Jl. Raya Condet No.88B, RT.3/RW.4, Balekambang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13530","Bakso Mesir terletak di jalan Raya Condet, Kramat Jati, Jakarta Timur dan biasa dikenal dengan sebutan Bakso Mesir Condet. dinamakan Bakso Mesir karena pemilik kedai ini, sang suami, adalah seorang yang merupakan asli keturunan Mesir. Ibu atau sang istri bertemu ketika di UEA sewaktu beliau menjadi TKW yang kemudian menikah dan kembali pulang ke Indonesia. Pembeda pada bakso mesir ini adalah rasa kuahnya yang dimana disajikan dalam kuah bening dengan rasa kaya akan rempah sementara bakso pada umumnya memiliki kuah kaldu campuran daging dan sedikit bumbu perasa. Hal ini menunjukkan ciri khas masakan daerah timur tengah yang dikenal juaranya pengolah masakan berbahan dasar daging.",-6.279615,106.854893
294,Bubur Ayam dan Ketupat Sayur Berdikari Nusantara,Kuliner,Jakarta Timur,"Jl. Cipinang Jaya Raya, RT.1/RW.3, Cipinang Muara, Jakarta Timur, DKI Jakarta, Daerah Khusus Ibukota Jakarta 13410","Bubur Ayam dan Ketupat Sayur Berdikari Nusantara menyediakan Bubur ayam dan ketupat sayur khas Betawi yang disajikan di warung makan dengan rasa yang spesial dan dipadukan dengan cita rasa bubur nusantara serta bubur oriental. Pasalnya bubur Berdikari Nusantara ini menyajikan bubur dengan bumbu kuning kaldu dan caipo, asinan yang terbuat dari lobak manis.",-6.226562,106.883992
295,Dapur Solo Resto & Lunch Box - Matraman,Kuliner,Jakarta Timur,"Jl. Matraman Raya No.18, RT.2/RW.1, Kb. Manggis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13150","Dapur Solo bermula dari usaha yang didirikan di garasi rumah sederhana milik Ny. Swan Kumarga pada tahun 1988 dengan bermodalkan sekedar cobek dan blender. Kelahiran Dapur Solo bermulai dari keinginan untuk mengisi waktu luang dengan menyediakan rujak dan aneka jus bagi anak-anak yang pulang sekolah dan ibu-ibu di lingkungan perumahan. Hingga kini berkembang, selain lima cabang restoran, telah hadir juga layanan delivery nasi kotak sejabodetabek di bawah nama Dapur Solo Lunch Box. Dengan visi melestarikan budaya Indonesia terutama makanan tradisional Jawa khas Solo. ",-6.200635,106.854719
296,Gado Gado Jatinegara,Kuliner,Jakarta Timur,"Jl. Jatinegara Bar. Kel No.30, RW.4, Bidara Cina, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13320","Gado-Gado Jatinegara adalah sebuah warung makan dengan menu spesial Gado-Gado terletak di Jl. Raya Jatinegara Barat. Gado-gado adalah salah satu panganan yang berasal dari Jawa berupa sayur-sayuran yang direbus dan dicampur menjadi satu dengan bumbu kacang atau saus dari kacang tanah yang dihaluskan disertai  dengan irisan telur. Untuk wisatawan yang berada di kawasan Jakarta Timur bisa mencoba ke tempat ini untuk merasakan makanan ini. Uniknya, Gado-gado Jatinegara memiliki tekstur tahu yang lembut di lidah dengan perpaduan bumbu kacang yang gurih menjadikan gado-gado ini tepat untuk dinikmati saat terik matahari. Dilengkapi emping menambah nilai plus gado-gado yang satu ini.",-6.21905,106.864471
297,Handayani Prima,Kuliner,Jakarta Timur,"Jl. Matraman Raya No.45, RT.1/RW.3, Palmeriam, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13140","Handayani Prima merupakan sebuah restoran yang menyajikan aneka variasi makanan Asia dan Indonesia dgn rasa yg otentik disertai dengan atmosfir restoran rumahan. Tersedia menu seperti Rujak cingur, Rujak gobet, Gado-gado, Tahu telor, Gurami goreng, Gurami mangga muda, Gurami asam manis, Wader penyet, Daging sapi lada hitam, Ayam goreng, Bistik ayam dan masih banyak lagi. Terletak di Matraman, Jakarta Timur, dengan jam operasi pukul 10.00 pagi hingga 10.00 malam.",-6.201739,106.856766
298,Javakarta Resto,Kuliner,Jakarta Timur,"Javakarta Resto, Jl. Jambore No.6, RT.3/RW.13, Cibubur, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13720","Resto/cafe yang bernama Warung/Warunk Javakarta ini belokasi di Ciracas, Kota Jakarta Timur. Kafe ini menggunakan konsep fine dining, stilah yang lebih merujuk kepada gaya makan yang lebih formal. Dalam hal ini, restoran fine dining menawarkan pelanggan pengalaman bersantap yang lebih mewah. Konsep mewah ini bukan hanya terlihat dari interiornya saja, tetapi juga dari peralatan makan yang digunakan, pelayanan kepada pelanggan, hingga jenis hidangan yang disajikan. Jika ingin merasakan restoran dengan model Joglo, wisatawan dapat mampir ke warunk Javakarta ini.",-6.365403,106.887024
299,Kedai Locale,Kuliner,Jakarta Timur,"Jl. Balai Pustaka No.C-6, RW.10, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220","Kuliner Jakarta Timur yang tidak kalah hits adalah Kedai Locale, tempat makan trendi dengan dinding bata terekspos yang menyajikan masakan klasik Indonesia, plus beragam kopi. Kedai ini memiliki ciri khas yaitu nuansa alam yang indah dan terasa sangat elegan. Ditambah lagi campuran unsur tradisional membuat kedai ini sampai sekarang masih menjadi favorit anak muda. Salah satu makanan favorit yang dijual di Kedai Locale adalah nasi goreng rawon dan menu kopi seperti hot cappucino.",-6.196717,106.885841
300,Lesehan Gurame,Kuliner,Jakarta Timur,"Jalan Pemuda No, RT.1/RW.8, Rawamangun, Jakarta Timur, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220","Lesehan Gurame yang terletak di Rawamangun ini merupakan lesehan yang luas dan lapang dengan langit-langit tinggi yang menyajikan hidangan tradisional Sunda. Restoran ini buka setiap hari dari pukul 10.00-22.00 WIB. Sajian andalan restoran ini, sesuai dengan namanya, ikan gurame. Tetapi selain gurame, ada juga menu lain yang sedap jadi teman makan.",-6.193802,106.891971
301,Munik Resto,Kuliner,Jakarta Timur,"Jl. Matraman Raya No.80, RW.82, Kb. Manggis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13150","Munik Resto Matraman yaitu merupakan restaurant yang memiliki menu-menu khas Indonesia. Resto ini menawarkan masakan atau menu nusantara dengan berbagai menu contohnya seperti ikan bakar, ayam, bebek, aneka sayur dan minuman yang bermacam – macam. Munik sendiri juga menyediakan aneka bumbu masak instan dan menerima pesanan aneka kue dan hidangan untuk acara khusus. Munik Resto Matraman ini memiliki tempatnya yang sangat nyaman terbagi beberapa area seperti area indoor dan juga area outdoor yang nyaman dengan konsep atau desain kekinian.",-6.204852,106.857447
302,Pondok Lesehan Cempaka Sewu,Kuliner,Jakarta Timur,"Jl. Pusdiklat Depnaker No.13, RT.13/RW.6, Makasar, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13570","Pondok Lesehan Cempaka Sewu adalah rumah makan di Jakarta Timur yang menyediakan bermacam-macam menu seperti bakso, mie ayam, aneka pecel seperti pecel ayam, pecel lele. Tidak hanya itu, rumah makan ini juga menyediakan makanan laut diantaranya ikan bawal, gurame, lele, nila, dll. Memiliki lahan parkir yang cukup luas untuk motor dan mobil. Letak pondok lesehan ini dekat dengan kantor kecamatan Makasar, Jakarta Timur.",-6.271928,106.87666
303,Sate Maranggi Padjajaran,Kuliner,Jakarta Timur,"Jl. RA. Fadillah, RT.3/RW.6, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770","Sate Maranggi Padjajaran menyajikan sate maranggi khas Jawa Barat yang merupakan makanan khas Sunda dengan tekstur daging yang empuk dan bumbunya juga meresap. Yang membedakan Sate Maranggi dengan sate lainnya adalah proses perendaman daging dalam bumbu (marination), sebelum dibuat menjadi sate dan dimasak. Karena proses pembumbuan inilah, maka Sate Maranggi disajikan tanpa saus pendamping. Ada pula ketan bakar yang rasanya juga tidak kalah lezat dengan sate maranggi.",-6.330715,106.845542
304,Sop Kambing Tiga Saudara,Kuliner,Jakarta Timur,"Jl. Pahlawan Revolusi No.4, RT.11/RW.7, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430","Sop Kambing Tiga Saudara menyediakan kuah dengan cita rasa yang menggoyang lidah. Sop ini memiliki cita rasa yang lezat. Memiliki warna kuah yang cerah dan rasanya yang gurih segar, adalah paduan sempurna untuk menikmati potongan kaki, otak, babat dan tulang muda kambing yang juga bertekstur empuk membuat salah satu wisata kuliner yang patut untuk wisatawan kunjungi jika sedang di Jakarta Timur. Untuk menikmati menu andalan warung ini, harganya terjangkau dan berlokasi di Jl. Pahlawan Revolusi, Pondok Bambu, Jakarta Timur. ",-6.245129,106.905313
305,Soto Kudus Otista,Kuliner,Jakarta Timur,"Jl. Otto Iskandar Dinata Komp. III No.1, RT.4/RW.1, Cipinang Cempedak, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340",Kedai yang sudah lama berdiri dengan area duduk simpel yang menyajikan sup tradisional Indonesia. Bertempat di sebuah rumah lama yang beroperasi setiap hari kecuali hari jumat di minggu kedua dan keempat setiap bulan. Menyediakan soto dengan rasa yang konsisten dari sejak berdirinya kedai. Menyediakan beragam lauk pauk untuk menemani makanan ini seperti otak-otak goreng dan paru.,-6.231574,106.874177
306,Tahu Campur Lamongan Cijantung,Kuliner,Jakarta Timur,"Gedung UWCW,cijantung2, Mahoni No.4, RT.2/RW.6, Gedong, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13760","Ingin merasakan kuliner Tahu Campur khas dari Lamongan di Jakarta, wisatawan dapat ke warung Tahu Campur Lamongan Cijantung. Tahu campur adalah sajian yang terdiri dari sop daging sapi kenyal, tahu goreng, perkedel singkong atau lento, taoge segar, selada air segar, mi kuning, serta kerupuk udang. Meskipun hanya warung kecil, namun rasa yang khas dari Lamongan membuat kuliner yang satu ini patut untuk dicoba. Terletak di Cijantung, Jakarta Timur dan mulai buka dari pukul 4 sore hingga pukul 10 malam.",-6.309817,106.859044
307,Bakmi Balap19 Medan,Kuliner,Jakarta Utara,"Jl. Teluk Gong Raya Jl. Keting No.53, RT.7/RW.12, Pejagalan, Kec. Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta 14450","Varian mie, Bakmi, menggunakan jenis mie keriting dengan topping carsiu dan daging cincang khas bakmi Medan. Bakmi ini terletak di Teluk Gong Raya, Jakarta Utara. Namun, perlu menjadi catatan bahwa bakmi ini termasuk non-halal. Mie-nya sekilas terlihat seperti gagrak Siantar, tetapi menggunakan mie kecil garing, bukan keriting seperti pada umumnya. Tone rasanya pun lebih asin gurih, serta terdapat aroma minyak babinya sehingga rasanya well-seasoned.",-6.133767,106.780489
308,Bandar Djakarta,Kuliner,Jakarta Utara,"Jl. Pantai Indah No.7, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430","Restoran bahari berkonsep pasar ikan, itulah Bandar Djakarta. Wisatawan dapat memilih sendiri varian seafood segar untuk dimasak oleh chef andalan di restoran ini. Sambil menyantap hidangan, wisatawan juga akan ditemani sajian live music. Saat ini, Bandar Djakarta telah memiliki empat cabang. Dua di antaranya berlokasi di Jakarta Utara, yakni di Ancol dan Baywalk Pluit. Restoran ini juga menyajikan menu non-seafood, antara lain nasi dan bihun goreng, sapi lada hitam, berbagai varian ayam goreng, dan lain sebagainya.",-6.122601,106.843584
309,Bumbu Moyang,Kuliner,Jakarta Utara,"Jl. Marina Raya 2 Pantai Indah Kapuk Kamal Muara Penjaringan Jakarta Utara, RT.7/RW.2, Kec. Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta 14470","Bumbu Moyang, Pantai Indah Kapuk merupakan sebuah tempat makan yang berada di Jakarta Utara. Restoran ini menyajikan berbagai menu makanan khas Indonesia dengan suasana tempo dulu. Terdapat menu aneka nasi, ayam, bebek, dan seafood yang dibanderol dengan harga yang murah dan bersahabat dengan kantong. Interiornya didesain vintage dan banyak pajangan barang-barang antik. Buka setiap hari mulai pukul 10.30 hingga 22.15 WIB.",-6.112784,106.748535
310,Eaton,Kuliner,Jakarta Utara,"Jl. Danau Sunter Utara Blok C2 No.4, Sunter Agung, Tanjung Priok, RT.6/RW.12, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350","Eaton Bakery & Restaurant menyajikan aneka macam kue, biskuit, roti, kue kering, bingkisan, dan juga berbagai macam produk roti musiman seperti Idul Fitri, Festival Bulan, Perayaan Tahun Baru Imlek, Hari Ibu, Hari Kasih Sayang, dan berbagai macam perayaan lainnya. Namun, pada dasarnya tempat ini juga merupakan rumah makan yang menjual makanan Indonesia dan di dalamnya itu lah terdapat toko roti.",-6.138954,106.864874
311,Food Market Sunter,Kuliner,Jakarta Utara,"Jl. Danau Sunter Utara, RW.10, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350","Konsep Food Market adalah menyediakan berbagai stand makanan seperti Ramen Boy, Cemilan Cepuluh Rasa, Pizza Mangkok, Pig Me Up, dan lain sebagainya. Untuk lokasinya berada di jalan Danau Sunter Utara, Sunter. Food Market ini mulai buka sejak tahun 2018. Bagi wisatawan yang suka makan dan kulineran bisa datang ke tempat ini untuk merasakan makanan dan minuman yang ada di tempat ini. Hanya mengunjungi satu tempat kalian sudah bisa menikmati aneka jajanan. Untuk kisaran harga di bawah Rp50 ribu hingga Rp200 ribu rupiah. Yang datang ke tempat ini banyak yang mencoba Pizza Mangkok. Dan disini terdapat variasi makanan halal atau pun non halal, makanan lokal sampai internasional ada di tempat ini. Serta ada live musik di setiap sabtu malam. Food Market buka setiap hari minggu hingga kamis mulai pukul 10 pagi hingga 10 malam, dan hari jumat dan sabtu mulai pukul 10 pagi hingga pukul 12 malam.",-6.140414,106.857905
312,Food Street PIK (Pantai Indah Kapuk),Kuliner,Jakarta Utara,"Jl. Pantai Indah Kapuk, Jakarta Utara, Daerah Khusus Ibukota Jakarta 14460","Kawasan PIK tidak hanya terdapat kafe dan restoran saja di sekitar pantai pasir putih yang terkenal itu. Di kawasan Food Plaza, terdapat kawasan kuliner yang cukup ramai dikunjungi orang yaitu food street PIK. Food Street PIK ini mengambil konsep makanan kaki lima. Di sini terdapat lebih dari 50 tenant yang menawarkan aneka makanan dan minuman. Lokasinya ada di Jalan Pantai Indah Kapuk dan buka dari pukul 16.00-21.30 WIB.",-6.093463,106.743303
313,Goblet of Shisha,Kuliner,Jakarta Utara,"Jl. Pluit Permai No.10, RT.9/RW.7, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450","Bagi para penggemar Harry Potter, wajib mengunjungi tempat kuliner ini. Goblet of Shisa, restoran yang buka sejak 26 Juli 2018 itu nampak seperti Kastil Hogwarts, tempat belajar sihir para sosok utama dari buku karangan JK Rowling tersebut. Sementara, interior bagian dalamnya diatur serupa adegan di film, yakni peron platform 9 3/4 dengan troli berisi burung hantu putih. Jangan lupa untuk mengenakan jubah sekolah Hogwarts agar bisa maksimal berfoto ala Harry Potter. Sebagai tempat makan, tempat ini tentunya menyajikan sederet menu penggugah selera dengan citarasa mulai dari pengaruh Eropa hingga Asia. Namanya pun disesuaikan dengan tokoh-tokoh dalam buku Harry Potter, seperti Buckbeak Burger, The Great Lake's Salmon, Hagrid Chicken Leg, dan The Leaky Cauldron's Fish And Chips. Tempat makan yang berlokasi di Jalan Pluit Permai, Pluit, Jakarta Utara itu buka setiap hari mulai pukul 12 siang hingga pukul 10 malam.",-6.115565,106.787334
314,Kembang Krawung,Kuliner,Jakarta Utara,"Ruko RB1, Jl. Raya Klp. Hybrida No.29B, RW.15, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250","Restoran ala Jawa ini berlokasi di kawasan Pegangsaan Dua, Jakarta Utara. Kembang Krawung menyajikan menu yang relatif lengkap, mulai dari makanan pembuka, hidangan utama, sampai sajian penutup. Menu populer di restoran ini meliputi nasi kendil, nasi timbel, nasi goreng kampung, es tape ketan, es cendol, dan lain-lain.",-6.147947,106.912605
315,Le Mint Indian & Chinese Restaurant,Kuliner,Jakarta Utara,"Blok D8, Jl. Sunter Garden No.11 M-N, RT.9/RW.19, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350","Le Mint Indian & Chinese Restaurant, tempat trendi dengan ruang makan elegan yang menawarkan menu vegan serta vegetarian China dan India. Terletak di Ruko Sunter Garden Raya, Sunter, Jakarta Utara. Wisatawan dapat menikmati makanan vegetarian yang khas dari negara China dan juga Negara India. ",-6.135864,106.865855
316,MAMAM Indonesian Mom's Dishes,Kuliner,Jakarta Utara,"Muara Karang Blok P2 Selatan No. 86, RT.4/RW.2, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450","Mama(m) berlokasi di Muara Karang yang merupakan salah satu sentra kuliner Jakarta Utara. Sajian favorit di sini antara lain adalah nasi liwet, ayam bekakak, dan bakwan jagung. Rumah makan ini mengusung konsep Restoran Mama(m) dimana artinya adalah menyuguhkan makanan rumahan yang biasa dimasak oleh mama tercinta. Restoran ini sangat luas dengan nuansa hangat dari penggunaan rotan, dinding bata, tanaman hijau yang menghasilkan kombinasi yang bagus antara nuansa modern dan tradisional.",-6.113252,106.773636
317,Midori Japanese Restaurant,Kuliner,Jakarta Utara,"Gading Bukit Indah, Jl. Raya Gading Kirana No.18, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240","Jika suka pada masakan Jepang atau tertarik mencoba masakan ala negeri sakura bisa datang ke Midori Japanese Restaurant. Restoran ini, bisa dikatakan salah satu pelopor restoran Jepang di Indonesia. Interior restoran Midori didesain dengan meja kayu serta hiasan berornamen alam seperti bambu, dengan detail alami yang memberikan suasana nyaman, asri, segar dan khas Jepang. Ini memang mencerminkan nama Midori yang dalam bahasa Jepang artinya hijau. Untuk menu makanan yang ditawarkan sangat beragam. Mulai dari sushi hingga sashimi tuna, salmon, gurita, udang, cumi dan belut. Bagi Anda yang tak menyukai makanan mentah, tak perlu khawatir karena Midori juga menyediakan bermacam-macam menu khas Jepang lainnya.",-6.149312,106.898688
318,Pepperloin Steakhouse,Kuliner,Jakarta Utara,"Jl. Boulevard Raya No.19, RT.11/RW.15, East Kelapa Gading, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta 14240","Pepperloin Steakhouse, restoran dengan makanan western atau ala barat. Pepperloin Steakhouse fokus mengolah daging steak hingga berhasil meramunya menjadi santapan lezat tanpa perlu menguras kantong. Wisatawan dapat request atau meminta kepada pelayan tingkat kematangan daging steak yang sesuai keinginan, Pepperloin Steakhouse akan melayaninya. Menu-menu unggulannya di antaranya adalah combo hokubee-rib eye, combo prime steak, sanchoku wagyu ribeye, tambahan saus jamur, dan masih banyak lagi.",-6.165006,106.902251
319,Pochajjang X Kitamura Sunter,Kuliner,Jakarta Utara,"Jl. Agung Tengah 13 No.16, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350","Pochajjang X Kitamura ini merupaka tempat makan yang menyajikan daging bakar sebagai menu utama dan didesain ala kedai kaki lima di Korea Selatan. Poster kartun, boyband, hingga girlband menghiasi dinding restoran untuk menemani para pengunjung menikmati beragam olahan daging sepuasnya. Kedai ini menyediakan dua pilihan jenis daging, yakni daging sapi premium dan wagyu. Tempat makan ini buka dan beroperasi mulai pukul 5 sore hingga 11 malam. Wisatawan dapat menikmati malam dengan barbekyuan di tempat ini.",-6.14357,106.869686
